temperature_bottom	temperature_top	temperature_spiral_middle_outlet	temperature_spiral_edge_outlet	voltage	current	European_standard_time_date	European_standard_time_of_day	time_t
82.37	94.82	27.73	29	15.84	0.19168	2.9.2015	05:15:01	1441170901
82.41	95.19	27.15	31.05	15.87	0.19085	2.9.2015	05:15:02	1441170902
82.32	95.66	25.2	33.2	15.86	0.1917	2.9.2015	05:15:03	1441170903
82.56	95.53	24.32	32.13	15.86	0.19153	2.9.2015	05:15:04	1441170904
81.79	95.35	24.51	28.42	15.86	0.19231	2.9.2015	05:15:05	1441170905
82.38	95.48	24.71	32.81	15.85	0.19164	2.9.2015	05:15:07	1441170907
81.94	95.62	27.83	28.91	15.86	0.19257	2.9.2015	05:15:08	1441170908
82.27	95.3	26.56	29.3	15.85	0.19164	2.9.2015	05:15:09	1441170909
81.71	95.41	26.86	29.69	15.85	0.19199	2.9.2015	05:15:10	1441170910
81.85	95.61	26.46	32.52	15.83	0.19165	2.9.2015	05:15:11	1441170911
82.07	95.38	26.27	32.42	15.85	0.19303	2.9.2015	05:15:12	1441170912
81.76	95.53	25.88	30.57	15.82	0.19185	2.9.2015	05:15:14	1441170914
82.47	95.47	25.68	32.71	15.85	0.19184	2.9.2015	05:15:15	1441170915
81.87	95.55	25.88	30.57	15.83	0.19225	2.9.2015	05:15:16	1441170916
82.27	95.58	26.56	30.66	15.85	0.19227	2.9.2015	05:15:17	1441170917
82.71	95.75	27.44	29.79	15.84	0.19198	2.9.2015	05:15:18	1441170918
82.17	95.69	25.98	33.59	15.86	0.19182	2.9.2015	05:15:19	1441170919
81.62	95.76	26.76	29.39	15.84	0.19249	2.9.2015	05:15:20	1441170920
82.32	95.79	25.59	33.01	15.86	0.19114	2.9.2015	05:15:22	1441170922
82.06	95.83	26.17	32.23	15.84	0.19136	2.9.2015	05:15:23	1441170923
82.22	95.8	24.71	32.91	15.86	0.19263	2.9.2015	05:15:24	1441170924
82.36	96.33	26.56	33.01	15.85	0.19202	2.9.2015	05:15:25	1441170925
82.25	96.05	25.59	28.03	15.86	0.19236	2.9.2015	05:15:26	1441170926
82.53	95.89	24.71	31.05	15.83	0.19086	2.9.2015	05:15:27	1441170927
81.99	95.63	26.17	29.2	15.86	0.19115	2.9.2015	05:15:29	1441170929
82.54	95.74	24.02	32.71	15.82	0.19146	2.9.2015	05:15:30	1441170930
81.82	96.03	26.86	30.96	15.86	0.19152	2.9.2015	05:15:31	1441170931
81.96	95.84	26.56	30.37	15.84	0.19067	2.9.2015	05:15:32	1441170932
82.29	95.82	24.9	29.59	15.84	0.1917	2.9.2015	05:15:33	1441170933
82.14	96.74	26.17	29.98	15.84	0.19113	2.9.2015	05:15:34	1441170934
82.22	96.17	25.78	32.13	15.85	0.19195	2.9.2015	05:15:35	1441170935
82.17	97.24	25.98	28.52	15.84	0.19061	2.9.2015	05:15:37	1441170937
82.39	96.53	27.44	29.79	15.84	0.19158	2.9.2015	05:15:38	1441170938
82.51	96.32	26.37	32.03	15.86	0.19146	2.9.2015	05:15:39	1441170939
82.05	96.66	24.22	30.27	15.82	0.19203	2.9.2015	05:15:40	1441170940
82.19	96.09	27.34	31.74	15.84	0.19182	2.9.2015	05:15:41	1441170941
82.23	96.22	26.37	30.76	15.82	0.19144	2.9.2015	05:15:42	1441170942
