temperature_bottom, temperature_top, temperature_spiral_middle_outlet, temperature_spiral_edge_outlet, voltage, current, European_standard_time_date, European_standard_time_of_day, time_t 
63.34, 62.27, 47.56, 45.02, 16.91, 0.19095, 3.9.2015 12:33:1, 1441283581, 
63.45, 62.29, 47.85, 45.31, 16.95, 0.19114, 3.9.2015 12:33:2, 1441283582, 
63.26, 62.34, 47.85, 45.61, 16.92, 0.19175, 3.9.2015 12:33:3, 1441283583, 
63.42, 62.89, 48.14, 45.51, 16.91, 0.19099, 3.9.2015 12:33:4, 1441283584, 
63.57, 62.60, 47.95, 45.02, 16.95, 0.19045, 3.9.2015 12:33:5, 1441283585, 
63.50, 62.93, 47.75, 45.21, 16.92, 0.19102, 3.9.2015 12:33:7, 1441283587, 
63.46, 63.29, 47.66, 45.31, 16.91, 0.19108, 3.9.2015 12:33:8, 1441283588, 
63.25, 63.53, 47.85, 46.19, 16.92, 0.19115, 3.9.2015 12:33:9, 1441283589, 
63.13, 63.72, 47.75, 45.02, 16.92, 0.19163, 3.9.2015 12:33:10, 1441283590, 
63.26, 64.08, 47.85, 45.80, 16.89, 0.19119, 3.9.2015 12:33:11, 1441283591, 
63.51, 64.25, 47.46, 45.02, 16.89, 0.19069, 3.9.2015 12:33:12, 1441283592, 
63.40, 64.03, 48.14, 44.92, 16.91, 0.19116, 3.9.2015 12:33:14, 1441283594, 
63.62, 64.34, 47.46, 45.41, 16.89, 0.19053, 3.9.2015 12:33:15, 1441283595, 
63.59, 64.43, 47.46, 44.63, 16.87, 0.19146, 3.9.2015 12:33:16, 1441283596, 
63.70, 64.23, 47.46, 45.80, 16.91, 0.19001, 3.9.2015 12:33:17, 1441283597, 
63.55, 64.28, 47.75, 44.53, 16.91, 0.19141, 3.9.2015 12:33:18, 1441283598, 
63.48, 64.18, 47.95, 45.02, 16.88, 0.19116, 3.9.2015 12:33:19, 1441283599, 
63.59, 64.05, 47.75, 45.41, 16.90, 0.19049, 3.9.2015 12:33:20, 1441283600, 
63.23, 63.58, 47.46, 46.39, 16.93, 0.19051, 3.9.2015 12:33:22, 1441283602, 
63.16, 63.88, 47.66, 45.31, 16.93, 0.19047, 3.9.2015 12:33:23, 1441283603, 
63.29, 63.17, 47.56, 45.12, 16.90, 0.19062, 3.9.2015 12:33:24, 1441283604, 
63.48, 63.29, 48.24, 44.82, 16.89, 0.19198, 3.9.2015 12:33:25, 1441283605, 
63.46, 63.88, 47.36, 45.70, 16.88, 0.19097, 3.9.2015 12:33:26, 1441283606, 
63.48, 63.73, 47.85, 45.02, 16.91, 0.19113, 3.9.2015 12:33:27, 1441283607, 
63.27, 63.79, 47.85, 45.21, 16.89, 0.19103, 3.9.2015 12:33:29, 1441283609, 
63.51, 64.09, 47.27, 44.73, 16.85, 0.19050, 3.9.2015 12:33:30, 1441283610, 
63.46, 64.44, 47.95, 45.31, 16.86, 0.19186, 3.9.2015 12:33:31, 1441283611, 
63.52, 64.49, 47.95, 45.31, 16.88, 0.19040, 3.9.2015 12:33:32, 1441283612, 
63.57, 64.37, 47.85, 44.92, 16.86, 0.19093, 3.9.2015 12:33:33, 1441283613, 
63.46, 64.27, 47.56, 44.82, 16.87, 0.19076, 3.9.2015 12:33:34, 1441283614, 
63.52, 64.52, 47.56, 45.61, 16.92, 0.19086, 3.9.2015 12:33:35, 1441283615, 
63.40, 64.72, 48.14, 45.21, 16.89, 0.19087, 3.9.2015 12:33:37, 1441283617, 
63.57, 65.00, 47.66, 45.02, 16.89, 0.19096, 3.9.2015 12:33:38, 1441283618, 
63.37, 64.97, 47.56, 45.21, 16.89, 0.19069, 3.9.2015 12:33:39, 1441283619, 
63.28, 65.62, 47.85, 45.21, 16.91, 0.19152, 3.9.2015 12:33:40, 1441283620, 
63.44, 65.42, 47.75, 45.51, 16.90, 0.19095, 3.9.2015 12:33:41, 1441283621, 
63.43, 65.50, 48.14, 45.21, 16.87, 0.19097, 3.9.2015 12:33:42, 1441283622, 
63.76, 65.64, 47.46, 45.70, 16.90, 0.19165, 3.9.2015 12:33:44, 1441283624, 
63.38, 66.07, 47.75, 45.41, 16.91, 0.19144, 3.9.2015 12:33:45, 1441283625, 
63.45, 66.61, 47.27, 45.61, 16.90, 0.19086, 3.9.2015 12:33:46, 1441283626, 
