1=clockwise, mantisse_flowrate, exponent_flowrate, temperature_top, temperature_bottom, temperature_spiral_middle_outlet, temperature_spiral_edge_outlet, voltage, current, European_standard_time_date, European_standard_time_of_day, time_t
1, 1600, -2, 78.70, 72.10, 30.66, 34.47, 16.66, 0.18555, 3.9.2015 16:40:6, 1441298406, 
1, 1600, -2, 78.39, 72.09, 30.66, 34.38, 16.68, 0.18668, 3.9.2015 16:40:7, 1441298407, 
1, 1600, -2, 78.52, 72.03, 35.25, 34.28, 16.64, 0.18728, 3.9.2015 16:40:8, 1441298408, 
1, 1600, -2, 78.62, 71.83, 40.43, 33.89, 16.65, 0.18509, 3.9.2015 16:40:9, 1441298409, 
1, 1600, -2, 78.72, 71.51, 44.73, 33.79, 16.62, 0.18789, 3.9.2015 16:40:11, 1441298411, 
1, 1600, -2, 78.58, 71.59, 47.85, 32.91, 16.64, 0.18655, 3.9.2015 16:40:12, 1441298412, 
1, 1600, -2, 78.67, 71.89, 48.54, 32.81, 16.61, 0.18452, 3.9.2015 16:40:13, 1441298413, 
1, 1600, -2, 78.63, 72.02, 49.80, 33.11, 16.64, 0.18559, 3.9.2015 16:40:14, 1441298414, 
1, 1600, -2, 78.72, 71.92, 51.27, 31.74, 16.61, 0.18429, 3.9.2015 16:40:15, 1441298415, 
1, 1600, -2, 78.80, 71.59, 52.25, 32.52, 16.65, 0.18555, 3.9.2015 16:40:16, 1441298416, 
1, 1600, -2, 78.74, 71.84, 53.81, 32.13, 16.61, 0.18773, 3.9.2015 16:40:17, 1441298417, 
1, 1600, -2, 78.66, 72.30, 54.10, 32.52, 16.64, 0.18624, 3.9.2015 16:40:19, 1441298419, 
1, 1600, -2, 78.66, 72.11, 55.18, 32.52, 16.62, 0.18690, 3.9.2015 16:40:20, 1441298420, 
1, 1600, -2, 78.86, 72.14, 56.35, 33.01, 16.65, 0.18645, 3.9.2015 16:40:21, 1441298421, 
1, 1600, -2, 78.68, 72.23, 56.64, 32.62, 16.61, 0.18535, 3.9.2015 16:40:22, 1441298422, 
1, 1600, -2, 78.62, 72.19, 57.81, 32.32, 16.64, 0.18601, 3.9.2015 16:40:23, 1441298423, 
1, 1600, -2, 78.62, 71.85, 57.62, 33.11, 16.62, 0.18673, 3.9.2015 16:40:24, 1441298424, 
