1=clockwise	mantisse_flowrate	exponent_flowrate	temperature_top	temperature_bottom	temperature_spiral_middle_outlet	temperature_spiral_edge_outlet	voltage	current	European_standard_time_date	European_standard_time_of_day	time_t
1	3600	-2	80.32	70.4	69.73	30.96	16.48	0.1871	3.9.2015	14:28:06	1441290486
1	3600	-2	80.27	70.67	71.09	31.05	16.49	0.1861	3.9.2015	14:28:07	1441290487
1	3600	-2	80.41	71.07	71.68	30.66	16.48	0.18674	3.9.2015	14:28:08	1441290488
1	3600	-2	80.34	71.85	71.48	31.15	16.5	0.18727	3.9.2015	14:28:10	1441290490
1	3600	-2	80.01	72.25	72.46	30.76	16.49	0.18823	3.9.2015	14:28:11	1441290491
1	3600	-2	80.51	72.53	72.66	30.86	16.5	0.18664	3.9.2015	14:28:12	1441290492
1	3600	-2	80.23	72.66	71.97	31.74	16.48	0.18729	3.9.2015	14:28:13	1441290493
1	3600	-2	80.38	73.23	71.97	30.66	16.49	0.18633	3.9.2015	14:28:14	1441290494
1	3600	-2	80.44	73.22	72.56	30.66	16.44	0.18733	3.9.2015	14:28:15	1441290495
1	3600	-2	80.26	73.4	73.34	31.25	16.48	0.18691	3.9.2015	14:28:16	1441290496
1	3600	-2	80.37	74.2	72.75	31.05	16.45	0.18739	3.9.2015	14:28:18	1441290498
1	3600	-2	80.32	73.87	72.75	31.45	16.47	0.18767	3.9.2015	14:28:19	1441290499
1	3600	-2	80.27	74.01	72.85	31.84	16.45	0.18647	3.9.2015	14:28:20	1441290500
1	3600	-2	80.29	74.24	73.24	31.45	16.49	0.18706	3.9.2015	14:28:21	1441290501
1	3600	-2	80.18	74.36	73.44	31.93	16.45	0.18828	3.9.2015	14:28:22	1441290502
1	3600	-2	80.29	73.78	73.54	32.03	16.49	0.18736	3.9.2015	14:28:23	1441290503
1	3600	-2	80.04	73.81	72.75	31.93	16.48	0.18697	3.9.2015	14:28:25	1441290505
1	3600	-2	80.02	73.72	73.24	31.84	16.47	0.18691	3.9.2015	14:28:26	1441290506
1	3600	-2	80.14	73.94	73.63	31.15	16.49	0.18741	3.9.2015	14:28:27	1441290507
1	3600	-2	80.37	74.01	73.93	31.45	16.48	0.18831	3.9.2015	14:28:28	1441290508
